Sr.,Category,Quantity,Rate,Amount,% Amount
317,Valkalam,1,448.89,448.89,0.01
321,White Spl,3,314.21,942.63,0.02
322,Work -- S,2,935.00,1870.00,0.04
322,Work -- S,1,1460.00,1460.00,0.03
322,Work -- S,2,830.00,1660.00,0.04
323,Work Es,1,1670.00,1670.00,0.04
323,Work Es,1,1880.00,1880.00,0.04
323,Work Es,3,625.00,1875.00,0.04
323,Work Es,1,819.00,819.00,0.02
323,Work Es,1,871.50,871.50,0.02
323,Work Es,1,997.50,997.50,0.02
323,Work Es,1,619.50,619.50,0.01
324,Work Saree,1,1314.00,1314.00,0.03
324,Work Saree,1,1125.00,1125.00,0.03
324,Work Saree,1,1502.55,1502.55,0.03
324,Work Saree,1,1459.50,1459.50,0.03
324,Work Saree,1,1039.50,1039.50,0.02
324,Work Saree,1,1249.51,1249.51,0.03
324,Work Saree,1,1669.51,1669.51,0.04
326,Work-S.,1,598.00,598.00,0.01
326,Work-S.,1,1012.00,1012.00,0.02
326,Work-S.,1,983.00,983.00,0.02
326,Work-S.,2,574.00,1148.00,0.03
326,Work-S.,3,408.97,1226.91,0.03
326,Work-S.,1,738.00,738.00,0.02
326,Work-S.,2,539.80,1079.60,0.02
326,Work-S.,1,1491.00,1491.00,0.03
326,Work-S.,1,834.68,834.68,0.02
326,Work-S.,1,473.00,473.00,0.01
N/A,Total :,5856,N/A,N/A,N/A
