Sr.,Category,Quantity,Rate,Amount,% Amount
248,PLAIN.,5,273.00,1365.00,0.03
248,PLAIN.,2,262.50,525.00,0.01
249,PRINTED,1,357.00,357.00,0.01
249,PRINTED,1,367.50,367.50,0.01
249,PRINTED,3,357.00,1071.00,0.02
249,PRINTED,4,367.50,1470.00,0.03
249,PRINTED,1,341.26,341.26,0.01
249,PRINTED,1,830.00,830.00,0.02
249,PRINTED,2,236.25,472.50,0.01
249,PRINTED,10,152.25,1522.50,0.03
249,PRINTED,5,315.00,1575.00,0.04
249,PRINTED,6,310.00,1860.00,0.04
249,PRINTED,1,273.00,273.00,0.01
249,PRINTED,2,341.26,682.52,0.02
250,PRINTED ..,1,179.00,179.00,0.00
251,PRINTED 9 YRD,2,320.26,640.52,0.01
252,PRINTED ART SILK,3,231.00,693.00,0.02
252,PRINTED ART SILK,1,564.00,564.00,0.01
252,PRINTED ART SILK,3,252.00,756.00,0.02
254,PRINTED BORDER,1,494.00,494.00,0.01
254,PRINTED BORDER,1,747.00,747.00,0.02
254,PRINTED BORDER,3,574.00,1722.00,0.04
254,PRINTED BORDER,2,685.00,1370.00,0.03
254,PRINTED BORDER,1,549.00,549.00,0.01
254,PRINTED BORDER,1,723.00,723.00,0.02
254,PRINTED BORDER,2,409.50,819.00,0.02
254,PRINTED BORDER,1,199.50,199.50,0.00
255,PRINTED BORDER 2,1,458.00,458.00,0.01
255,PRINTED BORDER 2,2,416.00,832.00,0.02
255,PRINTED BORDER 2,3,415.80,1247.40,0.03
256,PRINTED COTTON,1,238.00,238.00,0.01
256,PRINTED COTTON,2,210.00,420.00,0.01
256,PRINTED COTTON,2,263.00,526.00,0.01
256,PRINTED COTTON,1,315.00,315.00,0.01
258,PRINTED DESIGNER,1,823.00,823.00,0.02
258,PRINTED DESIGNER,2,623.00,1246.00,0.03
260,PRINTED SILK,1,310.00,310.00,0.01
Sr.,Category,Quantity,Rate,Amount,% Amount
260,PRINTED SILK,1,367.50,367.50,0.01
260,PRINTED SILK,1,425.25,425.25,0.01
260,PRINTED SILK,5,378.00,1890.00,0.04
260,PRINTED SILK,1,352.00,352.00,0.01
260,PRINTED SILK,8,183.75,1470.00,0.03
260,PRINTED SILK,1,325.50,325.50,0.01
260,PRINTED SILK,5,331.00,1655.00,0.04
260,PRINTED SILK,2,539.00,1078.00,0.02
261,PURE SILK,2,473.00,946.00,0.02
263,RAW SILK,3,582.76,1748.28,0.04
263,RAW SILK,7,273.00,1911.00,0.04
263,RAW SILK,2,351.75,703.50,0.02
264,RAW SILK .,1,577.50,577.50,0.01
265,ROSE GOLD BROKET,2,341.25,682.50,0.02
267,SAMBALPURI COTTEN,2,924.00,1848.00,0.04
268,SAMBAL-PURI COTTON,2,777.00,1554.00,0.04
271,SATIN,3,630.00,1890.00,0.04
272,SATON,2,546.00,1092.00,0.02
274,SEMI,1,273.00,273.00,0.01
276,SEMI KANJIVARM,1,431.00,431.00,0.01
277,SEMI KANJIWARM,1,659.00,659.00,0.01
279,SEMI PAITHANI,1,367.50,367.50,0.01
279,SEMI PAITHANI,5,368.00,1840.00,0.04
280,SHALLU,1,934.51,934.51,0.02
280,SHALLU,1,1354.51,1354.51,0.03
281,SHALLU .,1,1549.00,1549.00,0.03
285,SHELA,2,415.00,830.00,0.02
285,SHELA,3,494.00,1482.00,0.03
285,SHELA,2,394.00,788.00,0.02
286,SILK,1,309.38,309.38,0.01
286,SILK,3,312.02,936.06,0.02
Sr.,Category,Quantity,Rate,Amount,% Amount
289,SILK SAREE,3,273.00,819.00,0.02
290,SIROSKI WORK.,1,1258.95,1258.95,0.03
291,SOFT  SILK,1,1144.50,1144.50,0.03
291,SOFT  SILK,1,1649.00,1649.00,0.04
291,SOFT  SILK,1,525.00,525.00,0.01
293,SOFT SILK,1,525.00,525.00,0.01
293,SOFT SILK,1,473.00,473.00,0.01
293,SOFT SILK,1,499.00,499.00,0.01
293,SOFT SILK,1,367.50,367.50,0.01
293,SOFT SILK,1,1077.00,1077.00,0.02
293,SOFT SILK,1,922.70,922.70,0.02
293,SOFT SILK,2,656.00,1312.00,0.03
294,SOFT SILK .,1,735.00,735.00,0.02
294,SOFT SILK .,2,939.76,1879.52,0.04
294,SOFT SILK .,2,939.76,1879.52,0.04
295,SOFT TISSUE,2,761.00,1522.00,0.03
296,SOFTY SILK,1,350.00,350.00,0.01
296,SOFTY SILK,2,505.00,1010.00,0.02
296,SOFTY SILK,1,588.00,588.00,0.01
297,SOUTH  SILK,2,735.00,1470.00,0.03
299,SOUTH BROKET,1,998.00,998.00,0.02
300,SOUTH BROKET1,1,588.00,588.00,0.01
302,SOUTH SILK,1,1044.75,1044.75,0.02
302,SOUTH SILK,1,688.00,688.00,0.02
302,SOUTH SILK,1,645.77,645.77,0.01
302,SOUTH SILK,1,777.00,777.00,0.02
302,SOUTH SILK,3,473.00,1419.00,0.03
302,SOUTH SILK,1,278.25,278.25,0.01
302,SOUTH SILK,1,630.00,630.00,0.01
Sr.,Category,Quantity,Rate,Amount,% Amount
302,SOUTH SILK,3,483.00,1449.00,0.03
302,SOUTH SILK,3,415.00,1245.00,0.03
304,SYNTHETIC.,6,187.00,1122.00,0.03
305,TAKSHILA,2,724.50,1449.00,0.03
306,TAKSHILA.,2,325.50,651.00,0.01
306,TAKSHILA.,2,588.00,1176.00,0.03
309,TISSU SILK,1,1307.28,1307.28,0.03
309,TISSU SILK,2,740.00,1480.00,0.03
314,TUSSER SILK,1,656.00,656.00,0.01
314,TUSSER SILK,2,840.00,1680.00,0.04
314,TUSSER SILK,2,446.25,892.50,0.02
317,VALKALAM,2,331.00,662.00,0.01
317,VALKALAM,1,410.00,410.00,0.01
317,VALKALAM,1,504.00,504.00,0.01
317,VALKALAM,1,448.88,448.88,0.01
317,VALKALAM,1,448.89,448.89,0.01
321,WHITE SPL,3,314.21,942.63,0.02
322,WORK -- S,2,935.00,1870.00,0.04
322,WORK -- S,1,1460.00,1460.00,0.03
322,WORK -- S,2,830.00,1660.00,0.04
323,WORK ES,1,1670.00,1670.00,0.04
323,WORK ES,1,1880.00,1880.00,0.04
323,WORK ES,3,625.00,1875.00,0.04
Sr.,Category,Quantity,Rate,Amount,% Amount
323,WORK ES,1,819.00,819.00,0.02
323,WORK ES,1,871.50,871.50,0.02
323,WORK ES,1,997.50,997.50,0.02
323,WORK ES,1,619.50,619.50,0.01
324,WORK SAREE,1,1314.00,1314.00,0.03
324,WORK SAREE,1,1125.00,1125.00,0.03
324,WORK SAREE,1,1125.00,1125.00,0.03
324,WORK SAREE,1,1502.55,1502.55,0.03
324,WORK SAREE,1,1502.55,1502.55,0.03
324,WORK SAREE,1,1459.50,1459.50,0.03
324,WORK SAREE,1,1039.50,1039.50,0.02
324,WORK SAREE,1,1249.51,1249.51,0.03
324,WORK SAREE,1,1669.51,1669.51,0.04
326,WORK-S.,1,598.00,598.00,0.01
326,WORK-S.,1,1012.00,1012.00,0.02
326,WORK-S.,1,983.00,983.00,0.02
326,WORK-S.,2,574.00,1148.00,0.03
326,WORK-S.,3,408.97,1226.91,0.03
326,WORK-S.,1,738.00,738.00,0.02
326,WORK-S.,2,539.80,1079.60,0.02
326,WORK-S.,1,1491.00,1491.00,0.03
Sr.,Category,Quantity,Rate,Amount,% Amount
326,WORK-S.,1,834.68,834.68,0.02
326,WORK-S.,1,473.00,473.00,0.01
,Total :,5856,,,
