Sr.,Category,Quantity,Rate,Amount,% Amount
73,CHANDRAKOR PAITHANI 1,2,624.00,1248.00,0.03
73,CHANDRAKOR PAITHANI 1,1,1296.77,1296.77,0.03
73,CHANDRAKOR PAITHANI 1,7,324.00,2268.00,0.05
74,CHANDRAKOR PAITHANI.,2,682.50,1365.00,0.03
78,CHECKS COTTON,2,334.17,668.34,0.02
79,CHIFFON,14,173.00,2422.00,0.05
79,CHIFFON,3,242.00,726.00,0.02
79,CHIFFON,13,241.50,3139.50,0.07
79,CHIFFON,34,309.75,10531.50,0.24
79,CHIFFON,93,220.50,20506.50,0.46
79,CHIFFON,49,221.00,10829.00,0.24
79,CHIFFON,6,315.00,1890.00,0.04
79,CHIFFON,3,168.00,504.00,0.01
80,CHIFFON LAHERIYA,1,551.29,551.29,0.01
81,CHIFFON.,3,393.76,1181.28,0.03
81,CHIFFON.,1,305.00,305.00,0.01
83,CORSA CRAPE SILK,7,192.15,1345.05,0.03
83,CORSA CRAPE SILK,17,194.00,3298.00,0.07
85,COTTAN SILK,1,577.50,577.50,0.01
85,COTTAN SILK,1,908.00,908.00,0.02
85,COTTAN SILK,7,404.00,2828.00,0.06
85,COTTAN SILK,5,551.00,2755.00,0.06
85,COTTAN SILK,5,604.00,3020.00,0.07
85,COTTAN SILK,1,625.00,625.00,0.01
85,COTTAN SILK,16,551.00,8816.00,0.20
85,COTTAN SILK,4,997.50,3990.00,0.09
85,COTTAN SILK,1,603.76,603.76,0.01
85,COTTAN SILK,2,814.00,1628.00,0.04
85,COTTAN SILK,6,389.00,2334.00,0.05
86,COTTON,3,813.77,2441.31,0.06
86,COTTON,1,656.00,656.00,0.01
86,COTTON,3,441.02,1323.06,0.03
86,COTTON,2,666.68,1333.36,0.03
87,COTTON   SILK,5,336.00,1680.00,0.04
87,COTTON   SILK,4,625.00,2500.00,0.06
87,COTTON   SILK,4,1139.00,4556.00,0.10
87,COTTON   SILK,6,908.00,5448.00,0.12
87,COTTON   SILK,1,367.50,367.50,0.01
87,COTTON   SILK,1,603.75,603.75,0.01
